source;target;next_n;prev_n;next_e;distance
24;9;25;21;34;0.0144076
24;18;25;21;34;0.0134087
24;22;25;20;34;0.0144582
24;21;25;20;34;0.0129986
24;0;25;12;34;0.0113086
24;25;25;24;34;0.000174802
24;12;25;13;34;0.0112192
24;7;25;25;34;0.00599893
24;20;25;23;34;0.0128042
24;5;25;7;34;0.00677065
24;8;25;7;34;0.010639
24;1;25;5;34;0.00701435
24;6;25;5;34;0.00724686
24;23;25;1;34;0.00826162
24;2;25;6;34;0.00932935
24;3;25;2;34;0.0103724
24;13;25;3;34;0.0105631
12;17;0;14;10;0.0114253
12;15;0;14;10;0.0117664
12;11;0;9;10;0.0131349
12;10;0;9;10;0.0103578
12;19;0;16;10;0.0101247
12;14;0;16;10;0.0109922
12;24;0;25;10;0.00961076
12;16;0;18;10;0.00977232
12;9;0;21;10;0.00998971
12;18;0;21;10;0.00899076
12;22;0;20;10;0.0100403
12;21;0;20;10;0.0085807
12;25;0;7;10;0.00943596
12;0;0;12;10;8.93593e-05
12;13;0;3;10;0.00179569
12;1;0;0;10;0.00259641
12;2;0;0;10;0.000561924
12;3;0;2;10;0.00160493
12;5;0;1;10;0.00284011
12;6;0;1;10;0.00289467
12;23;0;1;10;0.00384368
12;7;0;5;10;0.00361183
12;20;0;23;10;0.00838629
12;8;0;7;10;0.00825187
10;24;9;25;33;0.0113148
10;17;9;14;33;0.0114522
10;15;9;14;33;0.0117932
10;19;9;16;33;0.0101516
10;14;9;16;33;0.011019
10;16;9;18;33;0.00979918
10;0;9;12;33;0.00908203
10;18;9;21;33;0.00901763
10;22;9;20;33;0.0100671
10;21;9;20;33;0.00860757
10;12;9;13;33;0.00899267
10;13;9;3;33;0.00833657
10;23;9;11;33;0.00387055
10;9;9;10;33;0.000368077
10;11;9;9;33;0.00351331
10;5;9;11;33;0.00454411
10;20;9;23;33;0.00841316
10;7;9;5;33;0.00531583
10;1;9;5;33;0.0047878
10;6;9;5;33;0.00502032
10;2;9;6;33;0.0071028
10;25;9;7;33;0.01114
10;8;9;7;33;0.00995587
10;3;9;2;33;0.00814581
0;17;1;14;0;0.011336
0;15;1;14;0;0.011677
0;11;1;9;0;0.0130456
0;10;1;9;0;0.0102684
0;19;1;16;0;0.0100353
0;14;1;16;0;0.0109028
